school_id,institution_name,province,type,onboarding_status
800011544,"MAGOTSHWA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800011601,"MAHAMBA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800011916,"MAKHOSONKE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800012104,"MALIBONGWE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800012336,"MANTONGA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800012930,"MAPHALA-GULUBE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800012609,"MAQHAWUZELA COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800012633,"MAQUBA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800030528,"MARANATHA  PRIMARY SCHOOL",Mpumalanga,"Independent School (COMBINED)",unclaimed
800012815,"MASAKHANE PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800013037,"MASIZAKHE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800013557,"MAYFLOWER SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800013615,"MBALENHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800013631,"MBALENHLE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800010975,"MD COOVADIA PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800013987,"MEHLWEMAMBA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014027,"METHULA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800014043,"MFULAMUDZE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014258,"MHOLA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014340,"MISPAH PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014407,"MKHOMAZANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014415,"MKHOMAZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035655,"MKHONDO HOUSE SCHOOL",Mpumalanga,"Independent School (INTERMEDIATE)",unclaimed
800014464,"MKOLISHI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800014498,"MLAMBONGWANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014506,"MLAMLANKUNZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800014522,"MLILO COMPREHENSIVE SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800013888,"MLONDOZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800015149,"MOOLMAN PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800004507,"MORGENZON LANDBOU AKADEMIE",Mpumalanga,"Public School (COMBINED)",unclaimed
800035651,"MOUNTAIN VALLEY COLLEGE",Mpumalanga,"Independent School (COMBINED)",unclaimed
800026708,"MP MAGAGULA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800015701,"MPULUZI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800015727,"MPUMELELO PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800015792,"MSINYANE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800015826,"MSWATI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800016063,"MUZIMUHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800016154,"MZINONI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800016238,"NALITHUBA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800016303,"NCIKINYANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800016337,"NDAWONYE PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800016469,"NDLELA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800016568,"NEDERLAND COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800035526,"NETHERLAND PARK SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800030486,"NEW ERMELO PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800016709,"NGANANA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800016725,"NGEMA COMBINED SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800016758,"NGILANDI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800016832,"NGONINI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800016881,"NHLAZATSHE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017012,"NKOKWENI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017095,"NKUKHUNDA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017194,"NOKUTHULA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800034642,"NORDEN PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800030221,"NQOBANGOLWAZI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800017210,"NQOBILE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017269,"NTABABOMVU PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017277,"NTABANHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800017327,"NTHOROANE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800017343,"NTITHANE PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800017533,"NYANDENI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035693,"OPPIEPLAAS ACADEMY (PTY) LTD",Mpumalanga,"Independent School (PRIMARY)",unclaimed
800017806,"OSIZWENI PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800012617,"OSIZWENI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800018002,"PETRUS MAZIYA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018143,"PHAMBILI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800034488,"PHAPHAMANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018242,"PHEMBINDLELA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800019836,"PHUMELELE  PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018416,"PHUMULA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018432,"PHUMULANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018481,"PHUZAMANZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018523,"PIET RETIEF COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800018531,"PIETER MABUZA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018796,"QALABOCHA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018812,"QALANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018820,"QAMBEKILE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018846,"QEDELA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800018911,"QHUBEKANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800018929,"QHUBULWAZI COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800018952,"QONDULWAZI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800019216,"REDHILL PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800028779,"REGGIE MASUKU SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800019364,"RETSEBILE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800019380,"REV SA NKOSI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800019448,"RING KINK PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800019547,"ROODEBANK PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800019737,"SAKHISIZWE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800030809,"SAKHISIZWE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800019752,"SALEM PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800019877,"SANGQOTHO PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800019927,"SASOLIA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800020032,"SEBENTA SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800030254,"SECUNDA CHRISTIAN ACADEMY",Mpumalanga,"Independent School (COMBINED)",unclaimed
800020263,"SEME SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800020396,"SETSHENG SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800020461,"SHAPEVE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800020594,"SHUKUMA PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800034605,"SIBAHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800020701,"SIBONGANGWANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800020792,"SIBUSISO COMBINED SCHOOL",Mpumalanga,"Public School (INTERMEDIATE)",unclaimed
800020818,"SIDINGULWAZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021139,"SILINDZILE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021162,"SIMTFOLILE SECONDARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800021238,"SINETHEMBA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800008615,"SIPHAKAMILE COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800034585,"SIPHOKUHLE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800021287,"SIPHUMELELE SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800021345,"SISUKUMILE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800000042,"SITANANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021402,"SITHUTHUKILE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021451,"SIYABONGA SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800021485,"SIYACATHULA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800013821,"SIYATHEMBA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035702,"SIYATHUTHUKA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021600,"SIYAZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021618,"SIYETA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021626,"SIYEZA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021667,"SIZAKHELE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021709,"SIZENZELE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021808,"SIZWAKELE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800021873,"SKOONUITSIG PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800021907,"SOBHUZA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021949,"SOHLAZANE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800021980,"SOKO PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800028928,"SS MSHAYISA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022319,"ST ANDREWS PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035700,"STANDERTON AKADEMIE",Mpumalanga,"Independent School (PRIMARY)",unclaimed
800030759,"STANDERTON CHRISTIAN SCHOOL",Mpumalanga,"Independent School (PRIMARY)",unclaimed
800022392,"STANDERTON PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022418,"STANWEST COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800022442,"STEYNSDORP PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035636,"SUMMERFIELDS PRIVATE SCHOOL",Mpumalanga,"Independent School (PRIMARY)",unclaimed
