school_id,institution_name,province,type,onboarding_status
ZAF-P-600100782,"KUTLWANO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100787,"KWA-MOCHA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100789,"KWALA-KITSO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100793,"KWENA TLASE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100818,"L. D MATSHEGO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100796,"LABA PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100938,"LAERSKOOL BAILLIE PARK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100226,"LAERSKOOL BURGERSDORP",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100257,"LAERSKOOL DAVID BRINK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100328,"LAERSKOOL DRIEFONTEINE",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100465,"LAERSKOOL GOUDKOP",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100795,"LAERSKOOL LA HOFF",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100903,"LAERSKOOL LICHTENBURG",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101180,"LAERSKOOL MEIRINGSPARK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100941,"LAERSKOOL ML FICK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100943,"LAERSKOOL MOOIRIVIER",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101522,"LAERSKOOL NOORDVAAL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101581,"LAERSKOOL ORKNEY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100805,"LAERSKOOL P.A. THERON",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101680,"LAERSKOOL PRESIDENT",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100946,"LAERSKOOL PRESIDENT PRETORIUS",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100807,"LAERSKOOL PROTEAPARK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101865,"LAERSKOOL RUSTENBURG",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101873,"LAERSKOOL SAAMTREK",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100811,"LAERSKOOL SONOP",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600102032,"LAERSKOOL STELLALAND PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600102034,"LAERSKOOL STILFONTEIN",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600102288,"LAERSKOOL UNIE",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100812,"LAERSKOOL VASTRAP",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600102343,"LAERSKOOL WOLMARANSSTAD",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100815,"LANGA LA SEMBO SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100816,"LAPOLOGANG HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100819,"LE-RONA SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101731,"LEBOGANG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-I-600104065,"LEBONE II COLLEGE",North West,"Independent School",unclaimed
ZAF-P-600100835,"LEFARAGATLHE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100838,"LEGAE THUTO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100844,"LEKANG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100850,"LEKOKO PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100852,"LEKWAKWA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100863,"LEOKENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105471,"LEOKENG SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100866,"LERETLETSE-LESEDI SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100867,"LEROME SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100868,"LEROTHODI HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100872,"LERUNTSE LESEDI HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100871,"LERUNTSE-LESEDI SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600102203,"LERUTLHWARE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105489,"LESEDING PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100875,"LESEGO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100877,"LESELE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100879,"LESHOBO MIDDLE SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100882,"LETEANE HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100889,"LETLAPE MIDDLE SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100885,"LETLHABILE MIDDLE SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100892,"LETLHASEDI COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105408,"LETLHOGILE INTERMEDIATE",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100894,"LETLOPI MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600100898,"LETSATSING SCIENCE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100899,"LETSHELEMANE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100880,"LETSIBOGO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100902,"LETSOPA PUBLIC SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105351,"LICHTENBURG ENGLISH SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100906,"LICHTENBURG PRIMARY SCHOOL {ENGLISH}",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-I-600103620,"LIGHTHOUSE CHRISTIAN COLLEGE",North West,"Independent School",unclaimed
ZAF-P-600100910,"LOALANE HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100911,"LOBANG HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101594,"LODIRILE TSWAING HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-I-600100914,"LOFDAL COMBINED SCHOOL",North West,"Independent School",unclaimed
ZAF-P-600100915,"LOGAGA PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600103260,"LOKALENG MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600100919,"LOKGABENG PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100921,"LOMANYANENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100925,"LORATO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100932,"LOT MASHIANE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600104246,"LOT PHALATSE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100949,"LUKA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105316,"M.K. RAMPINE",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600104001,"MAANO SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100955,"MAATLA SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100964,"MACHADAM COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
